source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
source_schema,products,product_id,target_schema,products,product_id,type_cast,CAST AS STRING
source_schema,products,product_name,target_schema,products,product_name,type_cast,CAST AS STRING
source_schema,products,category,target_schema,products,category,type_cast,CAST AS STRING
source_schema,products,standard_price,target_schema,products,standard_price,type_cast,CAST AS FLOAT
source_schema,products,,target_schema,products,_load_timestamp,metadata_inject,utc_now()
source_schema,products,,target_schema,products,_source_file,metadata_inject,source_path()
source_schema,stores,store_id,target_schema,stores,store_id,type_cast,CAST AS STRING
source_schema,stores,store_name,target_schema,stores,store_name,type_cast,CAST AS STRING
source_schema,stores,region,target_schema,stores,region,type_cast,CAST AS STRING
source_schema,stores,city,target_schema,stores,city,type_cast,CAST AS STRING
source_schema,stores,state,target_schema,stores,state,type_cast,CAST AS STRING
source_schema,stores,,target_schema,stores,_load_timestamp,metadata_inject,utc_now()
source_schema,stores,,target_schema,stores,_source_file,metadata_inject,source_path()
source_schema,sales_data,transaction_id,target_schema,sales_data,transaction_id,type_cast,CAST AS STRING
source_schema,sales_data,transaction_date,target_schema,sales_data,transaction_date,type_cast,CAST AS DATE
source_schema,sales_data,store_id,target_schema,sales_data,store_id,type_cast,CAST AS STRING
source_schema,sales_data,product_id,target_schema,sales_data,product_id,type_cast,CAST AS STRING
source_schema,sales_data,product_name,target_schema,sales_data,product_name,type_cast,CAST AS STRING
source_schema,sales_data,category,target_schema,sales_data,category,type_cast,CAST AS STRING
source_schema,sales_data,quantity,target_schema,sales_data,quantity,type_cast,CAST AS INTEGER
source_schema,sales_data,unit_price,target_schema,sales_data,unit_price,type_cast,CAST AS FLOAT
source_schema,sales_data,total_amount,target_schema,sales_data,total_amount,type_cast,CAST AS FLOAT
source_schema,sales_data,customer_segment,target_schema,sales_data,customer_segment,type_cast,CAST AS STRING
source_schema,sales_data,payment_method,target_schema,sales_data,payment_method,type_cast,CAST AS STRING
source_schema,sales_data,,target_schema,sales_data,_load_timestamp,metadata_inject,utc_now()
source_schema,sales_data,,target_schema,sales_data,_source_file,metadata_inject,source_path()
