source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
source,sales_data,transaction_id,target,sales_data,transaction_id,type_cast,CAST(transaction_id AS STRING)
source,sales_data,transaction_date,target,sales_data,transaction_date,type_cast,CAST(transaction_date AS STRING)
source,sales_data,store_id,target,sales_data,store_id,type_cast,CAST(store_id AS STRING)
source,sales_data,product_id,target,sales_data,product_id,type_cast,CAST(product_id AS STRING)
source,sales_data,product_name,target,sales_data,product_name,type_cast,CAST(product_name AS STRING)
source,sales_data,category,target,sales_data,category,type_cast,CAST(category AS STRING)
source,sales_data,quantity,target,sales_data,quantity,type_cast,CAST(quantity AS INTEGER)
source,sales_data,unit_price,target,sales_data,unit_price,type_cast,CAST(unit_price AS FLOAT)
source,sales_data,total_amount,target,sales_data,total_amount,type_cast,CAST(total_amount AS FLOAT)
source,sales_data,customer_segment,target,sales_data,customer_segment,type_cast,CAST(customer_segment AS STRING)
source,sales_data,payment_method,target,sales_data,payment_method,type_cast,CAST(payment_method AS STRING)
source,sales_data,,target,sales_data,_load_timestamp,metadata_inject,utc_now()
source,sales_data,,target,sales_data,_source_file,metadata_inject,source_path()
source,products,product_id,target,products,product_id,type_cast,CAST(product_id AS STRING)
source,products,product_name,target,products,product_name,type_cast,CAST(product_name AS STRING)
source,products,category,target,products,category,type_cast,CAST(category AS STRING)
source,products,standard_price,target,products,standard_price,type_cast,CAST(standard_price AS FLOAT)
source,products,,target,products,_load_timestamp,metadata_inject,utc_now()
source,products,,target,products,_source_file,metadata_inject,source_path()
source,stores,store_id,target,stores,store_id,type_cast,CAST(store_id AS STRING)
source,stores,store_name,target,stores,store_name,type_cast,CAST(store_name AS STRING)
source,stores,region,target,stores,region,type_cast,CAST(region AS STRING)
source,stores,city,target,stores,city,type_cast,CAST(city AS STRING)
source,stores,state,target,stores,state,type_cast,CAST(state AS STRING)
source,stores,,target,stores,_load_timestamp,metadata_inject,utc_now()
source,stores,,target,stores,_source_file,metadata_inject,source_path()
