source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
bronze,sales_data,transaction_id,silver,sales_data,transaction_id,surrogate_key,GENERATE UUID IF NULL
bronze,sales_data,transaction_date,silver,sales_data,transaction_date,standardize_date,CAST to DATE; HANDLE INVALID USING NULL
bronze,sales_data,store_id,silver,sales_data,store_id,null_handler,drop_nulls
bronze,sales_data,product_id,silver,sales_data,product_id,null_handler,drop_nulls
bronze,sales_data,product_name,silver,sales_data,product_name,null_handler,fill_unknown
bronze,sales_data,category,silver,sales_data,category,normalize_category,MAP TO STANDARD CATEGORY NAMES
bronze,sales_data,quantity,silver,sales_data,quantity,null_handler,fill_median
bronze,sales_data,unit_price,silver,sales_data,unit_price,null_handler,fill_median
bronze,sales_data,total_amount,silver,sales_data,total_amount,null_handler,fill_median
bronze,sales_data,customer_segment,silver,sales_data,customer_segment,normalize_segment,"MAP TO ['New', 'Returning', 'Loyal', 'Churned']"
bronze,sales_data,payment_method,silver,sales_data,payment_method,null_handler,fill_unknown
bronze,sales_data,,silver,sales_data,,dedup,REMOVE DUPLICATE ROWS BASED ON transaction_id
bronze,products,product_id,silver,products,product_id,surrogate_key,GENERATE UUID IF NULL
bronze,products,product_name,silver,products,product_name,null_handler,fill_unknown
bronze,products,category,silver,products,category,normalize_category,MAP TO STANDARD CATEGORY NAMES
bronze,products,standard_price,silver,products,standard_price,null_handler,fill_median
bronze,products,,silver,products,,dedup,REMOVE DUPLICATE ROWS BASED ON product_id
bronze,stores,store_id,silver,stores,store_id,surrogate_key,GENERATE UUID IF NULL
bronze,stores,store_name,silver,stores,store_name,null_handler,fill_unknown
bronze,stores,region,silver,stores,region,normalize_category,MAP TO STANDARD REGION NAMES
bronze,stores,city,silver,stores,city,null_handler,fill_unknown
bronze,stores,state,silver,stores,state,null_handler,fill_unknown
bronze,stores,,silver,stores,,dedup,REMOVE DUPLICATE ROWS BASED ON store_id
