source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
bronze,products,product_id,silver,products,product_id,surrogate_key,generate_uuid()
bronze,products,product_name,silver,products,product_name,none,
bronze,products,category,silver,products,category,normalize_category,lowercase()
bronze,products,standard_price,silver,products,standard_price,none,
bronze,products,_load_timestamp,silver,products,_load_timestamp,none,
bronze,products,_source_file,silver,products,_source_file,none,
bronze,stores,store_id,silver,stores,store_id,surrogate_key,generate_uuid()
bronze,stores,store_name,silver,stores,store_name,none,
bronze,stores,region,silver,stores,region,normalize_category,capitalize()
bronze,stores,city,silver,stores,city,none,
bronze,stores,state,silver,stores,state,none,
bronze,stores,_load_timestamp,silver,stores,_load_timestamp,none,
bronze,stores,_source_file,silver,stores,_source_file,none,
bronze,sales_data,transaction_id,silver,sales_data,transaction_id,surrogate_key,generate_uuid()
bronze,sales_data,transaction_date,silver,sales_data,transaction_date,standardize_date,to_iso8601()
bronze,sales_data,store_id,silver,sales_data,store_id,none,
bronze,sales_data,product_id,silver,sales_data,product_id,none,
bronze,sales_data,product_name,silver,sales_data,product_name,none,
bronze,sales_data,category,silver,sales_data,category,normalize_category,lowercase()
bronze,sales_data,quantity,silver,sales_data,quantity,null_handler,fill_median()
bronze,sales_data,unit_price,silver,sales_data,unit_price,null_handler,fill_median()
bronze,sales_data,total_amount,silver,sales_data,total_amount,null_handler,fill_median()
bronze,sales_data,customer_segment,silver,sales_data,customer_segment,normalize_segment,"map_loyal:loyal,  map_new:new,  map_other:other"
bronze,sales_data,payment_method,silver,sales_data,payment_method,none,
bronze,sales_data,_load_timestamp,silver,sales_data,_load_timestamp,none,
bronze,sales_data,_source_file,silver,sales_data,_source_file,none,
bronze,products,,silver,products,,dedup,drop_duplicates()
bronze,stores,,silver,stores,,dedup,drop_duplicates()
bronze,sales_data,,silver,sales_data,,dedup,drop_duplicates()
