source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
bronze,sales_data,transaction_id,silver,sales_facts,transaction_key,surrogate_key,GENERATE_UUID()
bronze,sales_data,transaction_date,silver,sales_facts,transaction_date,standardize_date,"PARSE_DATE('%Y-%m-%d',  transaction_date)"
bronze,sales_data,store_id,silver,sales_facts,store_id,null_handler,drop_nulls
bronze,sales_data,product_id,silver,sales_facts,product_id,null_handler,drop_nulls
bronze,sales_data,product_name,silver,sales_facts,product_name,null_handler,fill_unknown
bronze,sales_data,category,silver,sales_facts,category,normalize_category,LOWER(TRIM(category))
bronze,sales_data,quantity,silver,sales_facts,quantity,null_handler,fill_median
bronze,sales_data,unit_price,silver,sales_facts,unit_price,null_handler,fill_median
bronze,sales_data,total_amount,silver,sales_facts,total_amount,null_handler,fill_median
bronze,sales_data,customer_segment,silver,sales_facts,customer_segment,normalize_segment,UPPER(TRIM(customer_segment))
bronze,sales_data,payment_method,silver,sales_facts,payment_method,null_handler,fill_unknown
bronze,sales_data,_load_timestamp,silver,sales_facts,load_timestamp,null_handler,drop_nulls
bronze,sales_data,_source_file,silver,sales_facts,source_file,null_handler,drop_nulls
bronze,stores,store_id,silver,dim_stores,store_id,null_handler,drop_nulls
bronze,stores,store_name,silver,dim_stores,store_name,null_handler,fill_unknown
bronze,stores,region,silver,dim_stores,region,normalize_category,LOWER(TRIM(region))
bronze,stores,city,silver,dim_stores,city,null_handler,fill_unknown
bronze,stores,state,silver,dim_stores,state,null_handler,fill_unknown
bronze,stores,_load_timestamp,silver,dim_stores,load_timestamp,null_handler,drop_nulls
bronze,stores,_source_file,silver,dim_stores,source_file,null_handler,drop_nulls
bronze,products,product_id,silver,dim_products,product_id,null_handler,drop_nulls
bronze,products,product_name,silver,dim_products,product_name,null_handler,fill_unknown
bronze,products,category,silver,dim_products,category,normalize_category,LOWER(TRIM(category))
bronze,products,standard_price,silver,dim_products,standard_price,null_handler,fill_median
bronze,products,_load_timestamp,silver,dim_products,load_timestamp,null_handler,drop_nulls
bronze,products,_source_file,silver,dim_products,source_file,null_handler,drop_nulls
bronze,sales_data,transaction_id,silver,sales_facts,,dedup,drop_duplicate_rows_on(transaction_id)
